Customer ID,edad,genero,ubicacion,suscripcion,abandono,compras_registradas,gasto_total_usd,gasto_promedio_usd,primera_compra,ultima_compra,recencia_dias,cluster,segmento,recencia_log
20,66,Male,Rhode Island,Yes,0,47,2468.5,52.52,2022-05-31,2024-12-28,3,1,Clientes de alto valor activos,1.3862943611198906
21,21,Male,Louisiana,Yes,0,51,2619.5,51.36,2022-06-10,2024-12-21,10,1,Clientes de alto valor activos,2.3978952727983707
22,31,Male,North Carolina,Yes,0,23,1275.6,55.46,2022-01-13,2024-12-22,9,2,Clientes recientes en desarrollo,2.302585092994046
23,56,Male,California,Yes,0,33,1853.5,56.17,2022-01-22,2024-12-26,5,1,Clientes de alto valor activos,1.791759469228055
24,31,Male,Oklahoma,Yes,0,41,2343.4,57.16,2022-02-01,2024-12-25,6,1,Clientes de alto valor activos,1.9459101490553132
25,18,Male,Florida,Yes,0,17,850.6,50.04,2022-04-28,2024-12-08,23,2,Clientes recientes en desarrollo,3.1780538303479458
26,18,Male,Texas,Yes,0,15,762.6,50.84,2022-03-18,2024-12-20,11,2,Clientes recientes en desarrollo,2.4849066497880004
27,38,Male,Nevada,Yes,0,14,945.7,67.55,2022-03-17,2024-09-04,118,0,Clientes de baja actividad,4.77912349311153
28,56,Male,Kentucky,Yes,0,8,474.1,59.26,2023-05-02,2024-11-27,34,0,Clientes de baja actividad,3.5553480614894135
29,54,Male,North Carolina,Yes,0,42,2307.1,54.93,2022-01-27,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
30,31,Male,Wyoming,Yes,0,15,823.8,54.92,2022-02-06,2024-11-25,36,0,Clientes de baja actividad,3.6109179126442243
31,57,Male,North Carolina,Yes,0,17,961.2,56.54,2022-01-01,2024-12-24,7,2,Clientes recientes en desarrollo,2.0794415416798357
32,33,Male,West Virginia,Yes,0,46,2458.3,53.44,2022-01-25,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
33,36,Male,Kansas,Yes,0,38,1898.6,49.96,2022-03-26,2024-12-29,2,1,Clientes de alto valor activos,1.0986122886681098
34,54,Male,Colorado,Yes,0,46,2511.1,54.59,2022-01-08,2024-12-29,2,1,Clientes de alto valor activos,1.0986122886681098
35,36,Male,North Dakota,Yes,0,39,1920.3,49.24,2022-02-10,2024-11-20,41,3,Clientes valiosos en riesgo,3.7376696182833684
36,54,Male,Massachusetts,Yes,0,49,2430.4,49.6,2022-03-20,2024-12-05,26,3,Clientes valiosos en riesgo,3.295836866004329
37,35,Male,Illinois,Yes,0,45,2361.1,52.47,2022-01-09,2024-12-29,2,1,Clientes de alto valor activos,1.0986122886681098
38,35,Male,Indiana,Yes,0,11,521.8,47.44,2022-05-13,2024-12-22,9,2,Clientes recientes en desarrollo,2.302585092994046
39,29,Male,Florida,Yes,0,45,2243.0,49.84,2022-05-15,2024-12-22,9,1,Clientes de alto valor activos,2.302585092994046
40,70,Male,Arizona,Yes,0,19,1109.7,58.41,2022-01-01,2024-10-31,61,0,Clientes de baja actividad,4.127134385045092
41,69,Male,Louisiana,Yes,0,32,1602.2,50.07,2022-02-01,2024-12-20,11,3,Clientes valiosos en riesgo,2.4849066497880004
42,67,Male,Alaska,Yes,0,41,2278.2,55.57,2022-01-23,2024-12-22,9,1,Clientes de alto valor activos,2.302585092994046
43,20,Male,Tennessee,Yes,0,16,805.4,50.34,2022-01-16,2024-08-23,130,0,Clientes de baja actividad,4.875197323201151
44,25,Male,Ohio,Yes,0,20,959.7,47.98,2022-01-10,2024-12-13,18,2,Clientes recientes en desarrollo,2.9444389791664403
45,39,Male,Kentucky,Yes,0,46,2273.0,49.41,2022-03-12,2024-12-26,5,1,Clientes de alto valor activos,1.791759469228055
46,50,Male,Tennessee,Yes,0,26,1517.9,58.38,2022-02-02,2024-12-27,4,2,Clientes recientes en desarrollo,1.6094379124341003
47,57,Male,California,Yes,0,46,2505.9,54.48,2022-01-01,2024-12-24,7,1,Clientes de alto valor activos,2.0794415416798357
48,55,Male,Montana,Yes,0,37,1842.3,49.79,2022-02-19,2024-12-07,24,3,Clientes valiosos en riesgo,3.2188758248682006
49,42,Male,Nevada,Yes,0,39,1900.9,48.74,2022-03-20,2024-12-31,0,1,Clientes de alto valor activos,0.0
50,68,Male,New Jersey,Yes,0,35,2093.3,59.81,2022-01-12,2024-12-26,5,1,Clientes de alto valor activos,1.791759469228055
51,49,Male,Maryland,Yes,0,40,1905.6,47.64,2022-01-01,2024-11-05,56,3,Clientes valiosos en riesgo,4.04305126783455
52,59,Male,Vermont,Yes,0,8,406.3,50.79,2023-03-12,2024-08-22,131,0,Clientes de baja actividad,4.882801922586371
53,42,Male,Alaska,Yes,0,27,1371.1,50.78,2022-01-20,2024-11-01,60,3,Clientes valiosos en riesgo,4.110873864173311
54,29,Male,Mississippi,Yes,0,36,1947.7,54.1,2022-05-01,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
55,47,Male,New Mexico,Yes,0,36,2007.8,55.77,2022-04-03,2024-12-31,0,1,Clientes de alto valor activos,0.0
56,40,Male,South Carolina,Yes,0,50,2517.9,50.36,2022-02-04,2024-12-22,9,1,Clientes de alto valor activos,2.302585092994046
57,41,Male,Mississippi,Yes,0,47,2584.9,55.0,2022-02-12,2024-12-23,8,1,Clientes de alto valor activos,2.1972245773362196
58,21,Male,West Virginia,Yes,0,18,963.5,53.53,2022-06-03,2024-12-22,9,2,Clientes recientes en desarrollo,2.302585092994046
59,69,Male,Missouri,Yes,0,30,1703.7,56.79,2022-01-01,2024-12-29,2,1,Clientes de alto valor activos,1.0986122886681098
60,63,Male,Louisiana,Yes,1,5,260.7,52.14,2022-03-23,2023-10-29,429,0,Clientes de baja actividad,6.063785208687608
61,50,Male,Idaho,Yes,0,18,828.4,46.02,2022-04-08,2024-12-28,3,2,Clientes recientes en desarrollo,1.3862943611198906
62,55,Male,Texas,Yes,0,22,1143.9,52.0,2022-02-05,2024-12-25,6,2,Clientes recientes en desarrollo,1.9459101490553132
63,30,Male,Mississippi,Yes,0,32,1579.3,49.35,2022-01-01,2024-11-22,39,3,Clientes valiosos en riesgo,3.6888794541139363
64,33,Male,Arizona,Yes,0,44,2499.0,56.8,2022-01-01,2024-12-28,3,1,Clientes de alto valor activos,1.3862943611198906
65,65,Male,Alabama,Yes,0,19,860.3,45.28,2022-04-08,2024-12-21,10,2,Clientes recientes en desarrollo,2.3978952727983707
66,65,Male,New Jersey,Yes,0,45,2175.7,48.35,2022-02-03,2024-11-27,34,3,Clientes valiosos en riesgo,3.5553480614894135
67,31,Male,Pennsylvania,Yes,0,4,191.1,47.78,2023-05-20,2024-10-19,73,0,Clientes de baja actividad,4.30406509320417
68,45,Male,Connecticut,Yes,0,50,2566.1,51.32,2022-04-21,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
69,57,Male,Utah,Yes,0,22,931.6,42.35,2022-03-27,2024-11-22,39,3,Clientes valiosos en riesgo,3.6888794541139363
70,48,Male,Tennessee,Yes,1,6,339.6,56.6,2022-04-22,2024-01-10,356,0,Clientes de baja actividad,5.877735781779639
71,22,Male,Alabama,Yes,0,33,1823.0,55.24,2022-02-09,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
72,36,Male,Virginia,Yes,0,35,1754.9,50.14,2022-01-13,2024-12-01,30,3,Clientes valiosos en riesgo,3.4339872044851463
73,18,Male,Georgia,Yes,0,22,1001.9,45.54,2022-03-16,2024-11-27,34,3,Clientes valiosos en riesgo,3.5553480614894135
74,48,Male,Hawaii,Yes,0,44,2574.7,58.52,2022-02-03,2024-12-28,3,1,Clientes de alto valor activos,1.3862943611198906
75,49,Male,Indiana,Yes,0,4,200.9,50.22,2022-04-04,2024-03-20,286,0,Clientes de baja actividad,5.659482215759621
76,64,Male,Utah,Yes,0,22,1170.7,53.21,2022-02-02,2024-12-24,7,2,Clientes recientes en desarrollo,2.0794415416798357
77,50,Male,Delaware,Yes,0,33,1528.5,46.32,2022-01-18,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
78,22,Male,Delaware,Yes,0,37,1870.4,50.55,2022-01-16,2024-12-15,16,3,Clientes valiosos en riesgo,2.833213344056216
79,50,Male,Nebraska,Yes,0,51,2549.3,49.99,2022-03-19,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
80,38,Male,Iowa,Yes,0,44,2354.5,53.51,2022-01-01,2024-12-31,0,1,Clientes de alto valor activos,0.0
81,19,Male,New York,Yes,0,25,1349.5,53.98,2022-04-15,2024-11-25,36,3,Clientes valiosos en riesgo,3.6109179126442243
82,67,Male,Virginia,Yes,0,37,1830.1,49.46,2022-01-25,2024-12-21,10,1,Clientes de alto valor activos,2.3978952727983707
83,19,Male,Georgia,Yes,0,22,1108.8,50.4,2022-03-26,2024-11-24,37,3,Clientes valiosos en riesgo,3.6375861597263857
84,36,Male,Texas,Yes,0,35,1730.2,49.43,2022-02-12,2024-12-07,24,3,Clientes valiosos en riesgo,3.2188758248682006
85,52,Male,Arizona,Yes,0,43,1926.3,44.8,2022-03-04,2024-11-30,31,3,Clientes valiosos en riesgo,3.4657359027997265
86,53,Male,New Mexico,Yes,0,3,128.5,42.83,2023-04-16,2024-10-03,89,0,Clientes de baja actividad,4.499809670330265
87,24,Male,Nevada,Yes,0,48,2398.3,49.96,2022-03-12,2024-12-30,1,1,Clientes de alto valor activos,0.6931471805599453
88,52,Male,Ohio,Yes,0,45,2284.5,50.77,2022-02-03,2024-12-21,10,1,Clientes de alto valor activos,2.3978952727983707
89,33,Male,Wyoming,Yes,0,36,2076.3,57.68,2022-03-09,2024-12-21,10,1,Clientes de alto valor activos,2.3978952727983707
90,47,Male,California,Yes,0,16,781.7,48.86,2022-02-04,2024-12-22,9,2,Clientes recientes en desarrollo,2.302585092994046
91,25,Male,South Carolina,Yes,0,30,1713.7,57.12,2022-03-19,2024-12-22,9,2,Clientes recientes en desarrollo,2.302585092994046
92,44,Male,South Carolina,Yes,0,19,823.0,43.32,2022-07-08,2024-11-24,37,0,Clientes de baja actividad,3.6375861597263857
93,61,Male,Texas,Yes,0,14,649.0,46.36,2022-08-31,2024-12-18,13,2,Clientes recientes en desarrollo,2.6390573296152584
94,37,Male,Florida,Yes,0,47,2429.9,51.7,2022-02-06,2024-12-10,21,3,Clientes valiosos en riesgo,3.091042453358316
95,58,Male,Nevada,Yes,0,29,1516.1,52.28,2022-03-05,2024-12-21,10,2,Clientes recientes en desarrollo,2.3978952727983707
96,37,Male,Missouri,Yes,0,49,2421.5,49.42,2022-02-09,2024-12-22,9,1,Clientes de alto valor activos,2.302585092994046
97,32,Male,Delaware,Yes,0,44,2432.1,55.28,2022-01-26,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
98,21,Male,Virginia,Yes,0,38,2067.0,54.39,2022-02-09,2024-12-21,10,1,Clientes de alto valor activos,2.3978952727983707
99,20,Male,New York,Yes,0,21,1068.1,50.86,2022-06-19,2024-12-29,2,2,Clientes recientes en desarrollo,1.0986122886681098
100,26,Male,Missouri,Yes,0,34,1834.5,53.96,2022-01-01,2024-12-25,6,1,Clientes de alto valor activos,1.9459101490553132
101,62,Male,South Dakota,Yes,0,32,1706.8,53.34,2022-01-01,2024-12-21,10,1,Clientes de alto valor activos,2.3978952727983707
102,27,Male,North Dakota,Yes,0,51,2797.8,54.86,2022-01-01,2024-12-26,5,1,Clientes de alto valor activos,1.791759469228055
103,51,Male,Oklahoma,Yes,0,36,2138.9,59.41,2022-01-07,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
104,54,Male,West Virginia,Yes,0,23,1065.0,46.3,2022-02-06,2024-10-15,77,0,Clientes de baja actividad,4.356708826689592
105,55,Male,New Hampshire,Yes,0,2,85.8,42.9,2024-05-07,2024-08-31,122,0,Clientes de baja actividad,4.812184355372417
106,69,Male,New York,Yes,0,5,228.3,45.66,2022-06-28,2024-11-20,41,0,Clientes de baja actividad,3.7376696182833684
107,64,Male,Minnesota,Yes,1,32,1536.1,48.0,2022-01-01,2024-09-06,116,3,Clientes valiosos en riesgo,4.762173934797756
108,28,Male,Maryland,Yes,0,47,2420.7,51.5,2022-01-22,2024-12-28,3,1,Clientes de alto valor activos,1.3862943611198906
109,70,Male,Montana,Yes,0,33,1704.0,51.64,2022-01-01,2024-12-21,10,1,Clientes de alto valor activos,2.3978952727983707
110,58,Male,Alabama,Yes,0,44,2357.9,53.59,2022-01-15,2024-12-15,16,1,Clientes de alto valor activos,2.833213344056216
111,56,Male,New York,Yes,0,27,1356.2,50.23,2022-01-07,2024-12-18,13,2,Clientes recientes en desarrollo,2.6390573296152584
112,26,Male,Massachusetts,Yes,0,10,547.5,54.75,2022-03-05,2024-09-06,116,0,Clientes de baja actividad,4.762173934797756
113,37,Male,Florida,Yes,0,29,1446.1,49.87,2022-01-01,2024-11-30,31,3,Clientes valiosos en riesgo,3.4657359027997265
114,44,Male,New Jersey,Yes,0,21,1237.3,58.92,2022-01-29,2024-12-27,4,2,Clientes recientes en desarrollo,1.6094379124341003
115,70,Male,Massachusetts,Yes,1,10,547.4,54.74,2022-04-06,2024-05-09,236,0,Clientes de baja actividad,5.4680601411351315
116,53,Male,Wyoming,Yes,0,49,2563.9,52.32,2022-03-13,2024-12-31,0,1,Clientes de alto valor activos,0.0
117,55,Male,Virginia,Yes,0,13,708.6,54.51,2023-01-18,2024-12-22,9,2,Clientes recientes en desarrollo,2.302585092994046
118,50,Male,South Dakota,Yes,0,30,1488.0,49.6,2022-01-01,2024-11-29,32,3,Clientes valiosos en riesgo,3.4965075614664802
119,50,Male,Kentucky,Yes,0,28,1307.0,46.68,2022-05-09,2024-12-31,0,2,Clientes recientes en desarrollo,0.0
120,38,Male,Wyoming,Yes,0,45,2405.5,53.46,2022-01-29,2024-11-20,41,3,Clientes valiosos en riesgo,3.7376696182833684
121,64,Male,West Virginia,Yes,0,33,1661.9,50.36,2022-03-04,2024-11-30,31,3,Clientes valiosos en riesgo,3.4657359027997265
122,19,Male,Virginia,Yes,0,12,594.8,49.57,2022-06-17,2024-11-26,35,0,Clientes de baja actividad,3.58351893845611
123,40,Male,Washington,Yes,0,45,2286.5,50.81,2022-04-22,2024-12-18,13,1,Clientes de alto valor activos,2.6390573296152584
124,57,Male,Louisiana,Yes,0,47,2208.3,46.99,2022-03-13,2024-11-16,45,3,Clientes valiosos en riesgo,3.828641396489095
125,44,Male,Nevada,Yes,0,51,2762.2,54.16,2022-02-11,2024-12-21,10,1,Clientes de alto valor activos,2.3978952727983707
126,49,Male,California,Yes,0,46,2501.5,54.38,2022-02-06,2024-12-21,10,1,Clientes de alto valor activos,2.3978952727983707
127,43,Male,Mississippi,Yes,0,49,2578.8,52.63,2022-02-06,2024-12-30,1,1,Clientes de alto valor activos,0.6931471805599453
128,24,Male,Mississippi,Yes,0,27,1535.9,56.89,2022-04-22,2024-12-28,3,2,Clientes recientes en desarrollo,1.3862943611198906
129,20,Male,California,Yes,0,22,1296.4,58.93,2022-01-28,2024-12-29,2,2,Clientes recientes en desarrollo,1.0986122886681098
130,24,Male,Pennsylvania,Yes,1,50,2827.1,56.54,2022-03-04,2024-08-23,130,3,Clientes valiosos en riesgo,4.875197323201151
131,44,Male,Kentucky,Yes,0,14,870.2,62.16,2022-01-01,2024-11-22,39,0,Clientes de baja actividad,3.6888794541139363
132,28,Male,Maine,Yes,0,47,2313.6,49.23,2022-01-22,2024-12-24,7,1,Clientes de alto valor activos,2.0794415416798357
133,30,Male,New Mexico,Yes,0,43,2128.7,49.5,2022-02-17,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
134,52,Male,Montana,Yes,0,26,1407.9,54.15,2022-01-16,2024-12-21,10,2,Clientes recientes en desarrollo,2.3978952727983707
135,43,Male,Texas,Yes,0,26,1304.5,50.17,2022-01-22,2024-12-29,2,2,Clientes recientes en desarrollo,1.0986122886681098
136,43,Male,Kansas,Yes,0,13,642.7,49.44,2022-02-13,2024-12-24,7,2,Clientes recientes en desarrollo,2.0794415416798357
137,39,Male,South Carolina,Yes,0,5,249.5,49.9,2022-04-16,2024-12-28,3,2,Clientes recientes en desarrollo,1.3862943611198906
138,68,Male,Colorado,Yes,0,39,2248.4,57.65,2022-02-04,2024-12-22,9,1,Clientes de alto valor activos,2.302585092994046
139,68,Male,Georgia,Yes,0,43,2312.4,53.78,2022-02-12,2024-12-29,2,1,Clientes de alto valor activos,1.0986122886681098
140,49,Male,Florida,Yes,0,31,1517.8,48.96,2022-03-07,2024-11-09,52,3,Clientes valiosos en riesgo,3.970291913552122
141,63,Male,North Carolina,Yes,0,51,2593.9,50.86,2022-01-01,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
142,56,Male,Virginia,Yes,0,46,2517.6,54.73,2022-01-03,2024-12-26,5,1,Clientes de alto valor activos,1.791759469228055
143,37,Male,Nebraska,Yes,0,34,1579.5,46.46,2022-02-14,2024-12-29,2,1,Clientes de alto valor activos,1.0986122886681098
144,30,Male,Missouri,Yes,0,26,1245.0,47.88,2022-04-05,2024-10-27,65,3,Clientes valiosos en riesgo,4.189654742026425
145,19,Male,New Jersey,Yes,0,26,1240.9,47.73,2022-02-10,2024-12-26,5,2,Clientes recientes en desarrollo,1.791759469228055
146,24,Male,Missouri,Yes,0,45,2611.7,58.04,2022-01-12,2024-12-29,2,1,Clientes de alto valor activos,1.0986122886681098
147,52,Male,Colorado,Yes,1,22,1129.5,51.34,2022-03-29,2024-09-15,107,0,Clientes de baja actividad,4.68213122712422
148,63,Male,Idaho,Yes,0,32,1805.3,56.42,2022-01-21,2024-11-29,32,3,Clientes valiosos en riesgo,3.4965075614664802
149,37,Male,Wyoming,Yes,0,48,2551.8,53.16,2022-01-01,2024-12-28,3,1,Clientes de alto valor activos,1.3862943611198906
150,38,Male,Delaware,Yes,0,15,821.6,54.77,2022-01-28,2024-12-25,6,2,Clientes recientes en desarrollo,1.9459101490553132
151,35,Male,California,Yes,0,18,868.5,48.25,2022-02-07,2024-11-26,35,0,Clientes de baja actividad,3.58351893845611
152,28,Male,North Dakota,Yes,0,4,216.4,54.1,2022-04-29,2024-01-06,360,0,Clientes de baja actividad,5.8888779583328805
153,30,Male,South Carolina,Yes,0,43,2467.2,57.38,2022-02-15,2024-12-20,11,1,Clientes de alto valor activos,2.4849066497880004
154,69,Male,North Carolina,Yes,0,23,1265.5,55.02,2022-06-10,2024-11-29,32,3,Clientes valiosos en riesgo,3.4965075614664802
155,41,Male,Oklahoma,Yes,0,22,1133.9,51.54,2022-01-07,2024-12-30,1,2,Clientes recientes en desarrollo,0.6931471805599453
156,63,Male,Maine,Yes,0,22,1109.8,50.45,2022-02-13,2024-12-25,6,2,Clientes recientes en desarrollo,1.9459101490553132
157,35,Male,Missouri,Yes,0,41,1970.1,48.05,2022-02-04,2024-12-22,9,1,Clientes de alto valor activos,2.302585092994046
158,36,Male,Vermont,Yes,0,2,75.8,37.9,2023-08-28,2024-11-27,34,0,Clientes de baja actividad,3.5553480614894135
159,25,Male,Connecticut,Yes,0,51,2776.9,54.45,2022-04-08,2024-12-25,6,1,Clientes de alto valor activos,1.9459101490553132
160,58,Male,New Hampshire,Yes,0,40,2060.3,51.51,2022-02-10,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
161,27,Male,Texas,Yes,1,35,1838.4,52.53,2022-03-19,2024-09-05,117,3,Clientes valiosos en riesgo,4.770684624465665
162,65,Male,North Dakota,Yes,1,30,1580.7,52.69,2022-01-13,2024-09-07,115,3,Clientes valiosos en riesgo,4.7535901911063645
163,54,Male,California,Yes,0,32,1639.9,51.25,2022-02-03,2024-12-28,3,1,Clientes de alto valor activos,1.3862943611198906
164,54,Male,Virginia,Yes,0,9,444.6,49.4,2022-01-01,2024-10-10,82,0,Clientes de baja actividad,4.418840607796598
165,59,Male,Delaware,Yes,0,6,330.8,55.13,2023-06-17,2024-11-01,60,0,Clientes de baja actividad,4.110873864173311
166,42,Male,Kentucky,Yes,0,8,479.7,59.96,2022-09-01,2024-12-15,16,2,Clientes recientes en desarrollo,2.833213344056216
167,46,Male,Delaware,Yes,0,31,1596.8,51.51,2022-01-15,2024-11-10,51,3,Clientes valiosos en riesgo,3.9512437185814275
168,33,Male,Arkansas,Yes,0,15,800.0,53.33,2022-02-13,2024-11-29,32,0,Clientes de baja actividad,3.4965075614664802
169,34,Male,Louisiana,Yes,0,6,306.0,51.0,2022-04-04,2024-09-21,101,0,Clientes de baja actividad,4.624972813284271
170,27,Male,Nevada,Yes,0,4,219.6,54.9,2022-09-06,2024-10-19,73,0,Clientes de baja actividad,4.30406509320417
171,52,Male,Wyoming,Yes,0,47,2308.2,49.11,2022-01-01,2024-12-27,4,1,Clientes de alto valor activos,1.6094379124341003
172,29,Male,Virginia,Yes,0,5,389.4,77.88,2022-11-28,2024-04-28,247,0,Clientes de baja actividad,5.5134287461649825
173,54,Male,Nebraska,Yes,0,43,2313.4,53.8,2022-01-01,2024-12-29,2,1,Clientes de alto valor activos,1.0986122886681098
174,25,Male,Hawaii,Yes,0,31,1580.1,50.97,2022-03-05,2024-12-31,0,1,Clientes de alto valor activos,0.0
175,41,Male,Vermont,Yes,0,38,1941.2,51.08,2022-01-02,2024-11-27,34,3,Clientes valiosos en riesgo,3.5553480614894135
176,53,Male,Oklahoma,Yes,0,3,136.0,45.33,2023-09-14,2024-09-03,119,0,Clientes de baja actividad,4.787491742782046
177,53,Male,New Hampshire,Yes,0,31,1705.5,55.02,2022-03-04,2024-12-26,5,1,Clientes de alto valor activos,1.791759469228055
178,21,Male,Kansas,Yes,0,48,2346.8,48.89,2022-03-09,2024-11-26,35,3,Clientes valiosos en riesgo,3.58351893845611
179,61,Male,Idaho,Yes,0,22,1081.6,49.16,2022-02-09,2024-11-27,34,3,Clientes valiosos en riesgo,3.5553480614894135
180,64,Male,Illinois,Yes,0,10,508.1,50.81,2022-01-01,2024-09-02,120,0,Clientes de baja actividad,4.795790545596741
181,51,Male,South Dakota,Yes,0,13,535.8,41.22,2022-04-22,2024-07-27,157,0,Clientes de baja actividad,5.062595033026967
182,32,Male,Massachusetts,Yes,0,5,318.6,63.72,2022-07-09,2024-12-27,4,2,Clientes recientes en desarrollo,1.6094379124341003
183,38,Male,Alabama,Yes,1,11,586.7,53.34,2022-01-14,2024-02-19,316,0,Clientes de baja actividad,5.75890177387728
184,58,Male,Ohio,Yes,0,27,1341.3,49.68,2022-01-01,2024-12-28,3,2,Clientes recientes en desarrollo,1.3862943611198906
185,32,Male,Hawaii,Yes,0,41,1744.4,42.55,2022-03-12,2024-12-16,15,3,Clientes valiosos en riesgo,2.772588722239781
186,46,Male,Wisconsin,Yes,0,35,1617.5,46.21,2022-01-08,2024-12-29,2,1,Clientes de alto valor activos,1.0986122886681098
187,39,Male,Minnesota,Yes,0,32,1821.4,56.92,2022-02-09,2024-12-24,7,1,Clientes de alto valor activos,2.0794415416798357
188,19,Male,Georgia,Yes,0,2,105.1,52.55,2023-08-20,2024-11-06,55,0,Clientes de baja actividad,4.02535169073515
189,50,Male,Arkansas,Yes,0,6,429.7,71.62,2022-05-09,2024-12-20,11,2,Clientes recientes en desarrollo,2.4849066497880004
190,36,Male,West Virginia,Yes,0,5,306.4,61.28,2022-12-20,2024-10-20,72,0,Clientes de baja actividad,4.290459441148391
191,65,Male,Indiana,Yes,0,49,2567.8,52.4,2022-01-01,2024-12-30,1,1,Clientes de alto valor activos,0.6931471805599453
192,64,Male,Utah,Yes,0,30,1518.5,50.62,2022-01-16,2024-12-29,2,1,Clientes de alto valor activos,1.0986122886681098
193,46,Male,Nebraska,Yes,0,13,702.6,54.05,2022-08-20,2024-11-29,32,0,Clientes de baja actividad,3.4965075614664802
194,36,Male,North Dakota,Yes,0,30,1580.1,52.67,2022-04-10,2024-11-22,39,3,Clientes valiosos en riesgo,3.6888794541139363
195,51,Male,Missouri,Yes,0,16,841.2,52.58,2022-04-04,2024-12-25,6,2,Clientes recientes en desarrollo,1.9459101490553132
196,51,Male,New York,Yes,1,35,1790.6,51.16,2022-01-01,2024-08-27,126,3,Clientes valiosos en riesgo,4.844187086458591
197,38,Male,Washington,Yes,0,42,2085.5,49.65,2022-01-30,2024-11-20,41,3,Clientes valiosos en riesgo,3.7376696182833684
198,59,Male,South Carolina,Yes,0,42,2255.8,53.71,2022-01-16,2024-12-24,7,1,Clientes de alto valor activos,2.0794415416798357
199,57,Male,Utah,Yes,0,40,1885.9,47.15,2022-01-11,2024-12-20,11,1,Clientes de alto valor activos,2.4849066497880004
200,54,Male,Idaho,Yes,0,33,1794.2,54.37,2022-01-20,2024-12-10,21,3,Clientes valiosos en riesgo,3.091042453358316
201,25,Male,Pennsylvania,Yes,1,30,1595.1,53.17,2022-03-12,2024-09-29,93,3,Clientes valiosos en riesgo,4.543294782270004
202,69,Male,Missouri,Yes,0,16,697.1,43.57,2022-04-07,2024-12-24,7,2,Clientes recientes en desarrollo,2.0794415416798357
